,City,Date,max_temp_f
0,Toronto,2018-03-03,36
1,Houston,2018-03-03,72
2,Philadelphia,2018-03-03,45
3,Orlando,2018-03-03,71
4,Dallas,2018-03-03,71
5,San Jose,2018-03-03,52
6,Seattle,2018-03-04,48
7,Vancouver,2018-03-04,40
8,Kansas City,2018-03-04,57
9,Los Angeles,2018-03-04,60
10,Columbus,2018-03-10,42
11,New England,2018-03-10,81
12,Salt Lake,2018-03-10,46
13,Chicago,2018-03-10,36
14,Houston,2018-03-10,81
15,New Jersey,2018-03-10,39
16,Orlando,2018-03-10,72
17,Atlanta,2018-03-11,56
18,NYC,2018-03-11,43
19,"Washington, D.C.",2018-03-17,79
20,Minnesota,2018-03-17,44
21,Philadelphia,2018-03-17,44
22,Montreal,2018-03-17,16
23,NYC,2018-03-17,45
24,Atlanta,2018-03-17,74
25,Kansas City,2018-03-17,46
26,Salt Lake,2018-03-17,40
27,Dallas,2018-03-18,76
28,New England,2018-03-24,79
29,Dallas,2018-03-24,85
30,Columbus,2018-03-24,40
31,New Jersey,2018-03-24,46
32,Colorado,2018-03-24,53
33,Vancouver,2018-03-24,41
34,Toronto,2018-03-30,40
35,Orlando,2018-03-31,72
36,Los Angeles,2018-03-31,73
37,Columbus,2018-03-31,56
38,Chicago,2018-03-31,49
39,San Jose,2018-03-31,79
40,Minnesota,2018-03-31,40
41,Houston,2018-03-31,78
42,Kansas City,2018-03-31,58
43,Colorado,2018-03-31,53
44,Seattle,2018-03-31,59
45,New England,2018-04-06,82
46,Atlanta,2018-04-07,61
47,Philadelphia,2018-04-07,51
48,Dallas,2018-04-07,49
49,Chicago,2018-04-07,34
50,Salt Lake,2018-04-07,52
51,Orlando,2018-04-08,75
52,Los Angeles,2018-04-08,75
53,NYC,2018-04-11,49
54,Philadelphia,2018-04-13,81
55,Vancouver,2018-04-13,47
56,New Jersey,2018-04-14,68
57,Colorado,2018-04-14,45
58,Chicago,2018-04-14,38
59,"Washington, D.C.",2018-04-14,80
60,New England,2018-04-14,83
61,Portland,2018-04-14,58
62,San Jose,2018-04-14,75
63,Kansas City,2018-04-15,35
